surname,nationality,split
essa,Arabic,train
mustafa,Arabic,train
nazari,Arabic,train
shadid,Arabic,train
assaf,Arabic,train
bishara,Arabic,train
khoury,Arabic,train
koury,Arabic,train
shadid,Arabic,train
haddad,Arabic,train
boutros,Arabic,train
bishara,Arabic,train
malouf,Arabic,train
bishara,Arabic,train
seif,Arabic,train
mustafa,Arabic,train
boulos,Arabic,train
masih,Arabic,train
mifsud,Arabic,train
essa,Arabic,train
hadad,Arabic,train
ganim,Arabic,train
mustafa,Arabic,train
sarraf,Arabic,train
tannous,Arabic,train
guirguis,Arabic,train
handal,Arabic,train
hanania,Arabic,train
halabi,Arabic,train
khouri,Arabic,train
hanania,Arabic,train
mustafa,Arabic,train
maroun,Arabic,train
shamoon,Arabic,train
kattan,Arabic,train
ganem,Arabic,train
arian,Arabic,train
tahan,Arabic,train
bishara,Arabic,train
nader,Arabic,train
ganim,Arabic,train
nader,Arabic,train
totah,Arabic,train
tahan,Arabic,train
isa,Arabic,train
aswad,Arabic,train
almasi,Arabic,train
issa,Arabic,train
mifsud,Arabic,train
bata,Arabic,train
boutros,Arabic,train
wasem,Arabic,train
naifeh,Arabic,train
seif,Arabic,train
deeb,Arabic,train
seif,Arabic,train
hajjar,Arabic,train
kassis,Arabic,train
asker,Arabic,train
awad,Arabic,train
nassar,Arabic,train
antar,Arabic,train
saliba,Arabic,train
haik,Arabic,train
isa,Arabic,train
shalhoub,Arabic,train
sayegh,Arabic,train
maloof,Arabic,train
essa,Arabic,train
sarraf,Arabic,train
gaber,Arabic,train
deeb,Arabic,train
awad,Arabic,train
isa,Arabic,train
almasi,Arabic,train
shamon,Arabic,train
sabbag,Arabic,train
moghadam,Arabic,train
assaf,Arabic,train
atiyeh,Arabic,train
ghannam,Arabic,train
salib,Arabic,train
sabbag,Arabic,train
bitar,Arabic,train
zogby,Arabic,train
wasem,Arabic,train
ganem,Arabic,train
fakhoury,Arabic,train
bitar,Arabic,train
naser,Arabic,train
safar,Arabic,train
essa,Arabic,train
malouf,Arabic,train
nassar,Arabic,train
bitar,Arabic,train
baz,Arabic,train
salib,Arabic,train
attia,Arabic,train
salib,Arabic,train
srour,Arabic,train
kassis,Arabic,train
ganem,Arabic,train
ganim,Arabic,train
bazzi,Arabic,train
antar,Arabic,train
morcos,Arabic,train
shamoun,Arabic,train
masih,Arabic,train
koury,Arabic,train
isa,Arabic,train
qureshi,Arabic,train
tuma,Arabic,train
gerges,Arabic,train
hadad,Arabic,train
naser,Arabic,train
gaber,Arabic,train
hadad,Arabic,train
sarkis,Arabic,train
tahan,Arabic,train
maalouf,Arabic,train
issa,Arabic,train
nahas,Arabic,train
haddad,Arabic,train
tuma,Arabic,train
touma,Arabic,train
awad,Arabic,train
sleiman,Arabic,train
daher,Arabic,train
mifsud,Arabic,train
attia,Arabic,train
atiyeh,Arabic,train
touma,Arabic,train
kattan,Arabic,train
toma,Arabic,train
deeb,Arabic,train
zogby,Arabic,train
salib,Arabic,train
khouri,Arabic,train
koury,Arabic,train
aswad,Arabic,train
ganim,Arabic,train
kanaan,Arabic,train
toma,Arabic,train
hadad,Arabic,train
baba,Arabic,train
hanania,Arabic,train
bishara,Arabic,train
fakhoury,Arabic,train
samaha,Arabic,train
shadid,Arabic,train
masih,Arabic,train
kouri,Arabic,train
essa,Arabic,train
sarraf,Arabic,train
shamon,Arabic,train
deeb,Arabic,train
hakimi,Arabic,train
baz,Arabic,train
abboud,Arabic,train
naifeh,Arabic,train
shammas,Arabic,train
baz,Arabic,train
fakhoury,Arabic,train
fakhoury,Arabic,train
said,Arabic,train
kattan,Arabic,train
shamoun,Arabic,train
kassis,Arabic,train
daher,Arabic,train
essa,Arabic,train
kassab,Arabic,train
awad,Arabic,train
naifeh,Arabic,train
najjar,Arabic,train
nahas,Arabic,train
sabbag,Arabic,train
awad,Arabic,train
boulos,Arabic,train
maalouf,Arabic,train
attia,Arabic,train
ba,Arabic,train
asghar,Arabic,train
kassis,Arabic,train
essa,Arabic,train
kouri,Arabic,train
sarraf,Arabic,train
kalb,Arabic,train
asghar,Arabic,train
sleiman,Arabic,train
sarraf,Arabic,train
zogby,Arabic,train
naifeh,Arabic,train
abadi,Arabic,train
hadad,Arabic,train
bishara,Arabic,train
shammas,Arabic,train
daher,Arabic,train
boutros,Arabic,train
hanania,Arabic,train
shalhoub,Arabic,train
kassab,Arabic,train
antar,Arabic,train
shadid,Arabic,train
fakhoury,Arabic,train
botros,Arabic,train
atiyeh,Arabic,train
safar,Arabic,train
toma,Arabic,train
hadad,Arabic,train
samaha,Arabic,train
shammas,Arabic,train
